0, 75, 4
1, 105, 4
2, 143, 5
3, 99, 5
4, 139, 7
5, 149, 5
6, 152, 4
7, 145, 4
8, 153, 8
9, 131, 6
10, 151, 5
11, 135, 5
12, 118, 6
13, 94, 5
14, 52, 3
15, 68, 4
16, 55, 2
17, 55, 3
18, 50, 4
19, 58, 4
20, 47, 3
21, 67, 4
22, 83, 5
23, 87, 4
24, 144, 4
25, 135, 4
26, 163, 5
27, 135, 4
28, 160, 4
29, 157, 6
30, 159, 7
31, 155, 4
32, 155, 5
33, 154, 5
34, 136, 5
35, 126, 5
36, 64, 3
37, 65, 4
38, 42, 2
39, 53, 3
40, 50, 4
41, 33, 4
42, 48, 4
43, 44, 4
44, 85, 5
45, 51, 6
46, 127, 4
47, 159, 5
48, 153, 6
49, 130, 5
50, 160, 4
51, 148, 4
52, 139, 7
53, 159, 5
54, 133, 7
55, 113, 8
56, 128, 6
57, 126, 5
58, 73, 4
59, 59, 2
60, 66, 4
61, 60, 3
62, 63, 4
63, 32, 4
64, 60, 5
65, 48, 4
66, 84, 6
67, 112, 6
68, 149, 6
69, 162, 5
70, 157, 7
71, 144, 8
72, 161, 5
73, 159, 5
74, 133, 6
75, 126, 6
76, 140, 7
77, 108, 7
78, 103, 6
79, 108, 6
80, 68, 3
81, 57, 3
82, 53, 2
83, 55, 4
84, 67, 4
85, 31, 5
86, 59, 5
87, 49, 4
88, 86, 5
89, 101, 4
90, 151, 5
91, 140, 4
92, 119, 8
93, 107, 8
94, 146, 5
95, 145, 6
96, 126, 12
97, 140, 6
98, 140, 5
99, 116, 6
100, 126, 6
101, 138, 5
102, 80, 3
103, 73, 2
104, 46, 2
105, 47, 3
106, 71, 5
107, 27, 8
108, 35, 6
109, 39, 4
110, 84, 6
111, 137, 6
112, 157, 4
113, 160, 4
114, 116, 6
115, 135, 6
116, 160, 4
117, 162, 6
118, 114, 10
119, 127, 8
120, 186, 5
121, 82, 5
122, 115, 5
123, 73, 5
124, 82, 4
125, 78, 4
126, 58, 4
127, 75, 4
128, 78, 4
129, 39, 6
130, 34, 5
131, 78, 5
132, 77, 6
133, 135, 7
134, 134, 7
135, 160, 4
136, 147, 5
137, 147, 5
138, 159, 4
139, 161, 5
140, 110, 7
141, 139, 6
142, 175, 6
143, 64, 5
144, 87, 4
145, 84, 6
146, 90, 3
147, 68, 2
148, 50, 2
149, 84, 4
150, 82, 5
151, 79, 8
152, 74, 7
153, 93, 6
154, 113, 5
155, 157, 5
156, 148, 6
157, 160, 4
158, 140, 4
159, 159, 4
160, 160, 4
161, 151, 7
162, 158, 7
163, 92, 4
164, 176, 7
165, 116, 5
166, 118, 4
167, 104, 6
168, 90, 3
169, 73, 2
170, 49, 3
171, 89, 5
172, 87, 4
173, 98, 7
174, 84, 6
175, 136, 5
176, 139, 4
177, 161, 5
178, 144, 5
179, 160, 4
180, 152, 6
181, 160, 4
182, 158, 4
183, 139, 7
184, 156, 7
185, 124, 6
186, 135, 6
187, 67, 7
188, 72, 4
189, 84, 3
190, 70, 2
191, 80, 2
192, 59, 3
193, 66, 3
194, 80, 4
195, 100, 8
196, 85, 7
197, 153, 5
198, 97, 5
199, 141, 5
200, 150, 4
201, 160, 5
202, 147, 6
203, 136, 4
204, 157, 6
205, 138, 7
206, 152, 8
207, 149, 5
208, 135, 7
209, 91, 6
210, 77, 6
211, 73, 4
212, 63, 4
213, 65, 2
214, 70, 3
215, 86, 5
216, 100, 4
217, 100, 8
218, 63, 6
219, 134, 6
220, 135, 6
221, 162, 5
222, 155, 4
223, 135, 6
224, 138, 5
225, 155, 4
226, 148, 5
227, 99, 8
228, 153, 8
229, 156, 5
230, 105, 7
231, 91, 6
232, 81, 4
233, 84, 3
234, 57, 2
235, 44, 2
236, 54, 3
237, 79, 4
238, 104, 4
239, 95, 6
240, 86, 5
241, 151, 6
242, 117, 5
243, 126, 6
244, 128, 6
245, 130, 4
246, 151, 5
247, 114, 5
248, 116, 5
249, 110, 8
250, 105, 9
251, 114, 4
252, 102, 7
253, 94, 6
254, 90, 5
255, 84, 3
256, 73, 3
257, 68, 3
258, 51, 2
259, 63, 3
260, 104, 4
261, 100, 7
262, 103, 5
263, 168, 7
264, 145, 4
265, 132, 6
266, 141, 6
267, 151, 4
268, 141, 5
269, 152, 4
270, 121, 4
271, 106, 7
272, 137, 8
273, 90, 5
274, 67, 7
275, 75, 5
276, 61, 5
277, 60, 3
278, 74, 3
279, 73, 2
280, 79, 2
281, 65, 4
282, 100, 5
283, 115, 6
284, 154, 6
285, 164, 6
286, 115, 5
287, 124, 6
288, 152, 7
289, 152, 5
290, 146, 7
291, 122, 6
292, 89, 5
293, 124, 7
294, 157, 6
295, 123, 7
296, 92, 6
297, 87, 4
298, 91, 3
299, 84, 3
300, 80, 2
301, 82, 3
302, 84, 4
303, 77, 5
304, 117, 4
305, 112, 6
306, 135, 6
307, 115, 8
308, 145, 4
309, 135, 7
310, 158, 5
311, 144, 5
312, 154, 6
313, 124, 6
314, 93, 7
315, 94, 7
316, 112, 6
317, 81, 6
318, 88, 6
319, 75, 3
320, 91, 3
321, 84, 3
322, 80, 2
323, 70, 2
324, 73, 4
325, 74, 5
326, 89, 5
327, 81, 5
328, 157, 5
329, 157, 9
330, 148, 6
331, 125, 7
332, 140, 7
333, 134, 5
334, 122, 6
335, 101, 6
336, 116, 5
337, 115, 6
338, 139, 7
339, 129, 6
340, 92, 4
341, 100, 3
342, 70, 3
343, 73, 3
344, 82, 3
345, 78, 4
346, 74, 6
347, 93, 5
