0,1,15861810,1.336102,59.233723,0.000000
1,0,85839300,7.220812,59.233723,0.000000
1,2,123951738,10.489647,0.000000,0.000000
2,1,200912774,17.028313,0.000000,0.000000
2,3,111660872,9.578294,0.000000,0.000000
3,2,288525936,24.695269,0.000000,0.000000
3,4,191209796,16.071644,59.130054,0.000000
4,3,182879762,15.346036,59.130054,0.000000
4,5,298206558,25.204895,0.000000,0.000000
5,4,367128542,31.002401,0.000000,0.000000
5,6,270431574,22.868870,0.000000,0.000000
6,5,177054948,14.905959,0.000000,0.000000
6,7,138429574,11.665216,52.435349,0.000000
7,6,170832510,14.413509,52.435349,0.000000
7,8,238868488,20.047215,0.000000,0.000000
8,7,262164578,22.048393,0.000000,0.000000
8,9,171421932,14.458918,0.000000,0.000000
9,8,161363856,13.631014,0.000000,0.000000
9,10,158802070,13.381230,0.000000,0.000000
10,9,31580194,2.662676,0.000000,0.000000
10,11,108139770,9.112751,0.000000,0.000000
11,10,20858918,1.754807,0.000000,0.000000
11,12,81217922,6.872240,60.699997,0.000000
12,11,10784946,0.908147,60.699997,0.000000
12,13,57327110,4.842263,0.000000,0.000000
13,12,113997984,9.604708,0.000000,0.000000
13,14,61123760,5.141939,57.895241,0.000000
14,13,783406,0.065996,57.895241,0.000000
14,15,24277574,2.038512,0.000000,0.000000
15,14,15040390,1.271142,0.000000,0.000000
15,16,24023736,2.024335,0.000000,0.000000
16,15,1107838,0.093673,0.000000,0.000000
16,17,15325654,1.290024,56.296562,0.000000
17,16,9511528,0.792309,56.296562,0.000000
17,18,15994044,1.346223,0.000000,0.000000
18,17,13870216,1.165400,0.000000,0.000000
18,19,2788460,0.232904,0.000000,0.000000
19,18,16974102,1.422482,0.000000,0.000000
19,20,3908894,0.332555,0.000000,0.000000
20,19,19178980,1.620279,0.000000,0.000000
20,21,5858490,0.494619,0.000000,0.000000
21,20,23274934,1.972407,0.000000,0.000000
0,21,45905568,3.874136,65.112564,0.000000
21,0,6972974,0.587769,65.112564,0.000000
22,23,19942802,1.684892,0.000000,0.000000
23,22,39713860,3.359083,0.000000,0.000000
23,24,41116496,3.499098,56.722172,0.000000
24,23,76958954,6.515311,56.722172,0.000000
24,25,94426982,7.979167,0.000000,0.000000
25,24,84833824,7.134182,0.000000,0.000000
25,26,137414280,11.626477,0.000000,0.000000
26,25,92994190,7.867130,0.000000,0.000000
26,27,157293250,13.271394,0.000000,0.000000
27,26,159088198,13.445183,0.000000,0.000000
27,28,160687828,13.524290,0.000000,0.000000
28,27,190049040,16.051052,0.000000,0.000000
28,29,163495008,13.754311,0.000000,0.000000
29,28,222297676,18.674353,0.000000,0.000000
29,30,231860098,19.662848,0.000000,0.000000
30,29,288253268,24.444574,0.000000,0.000000
30,31,122952160,10.326722,0.000000,0.000000
31,30,223157858,18.743406,0.000000,0.000000
31,32,58656452,4.935921,0.000000,0.000000
32,31,116234636,9.850609,0.000000,0.000000
32,33,167622046,14.099303,0.000000,0.000000
33,32,40670518,3.413805,0.000000,0.000000
33,34,116465718,9.810140,0.000000,0.000000
34,33,18446926,1.544022,0.000000,0.000000
34,35,95708078,8.051153,0.000000,0.000000
35,34,34495680,2.906001,0.000000,0.000000
35,36,72363414,6.045018,0.000000,0.000000
36,35,21896904,1.830935,0.000000,0.000000
36,37,58925020,4.983559,0.000000,0.000000
37,36,7360548,0.615451,0.000000,0.000000
37,38,30800070,2.596467,63.909710,0.000000
38,37,2378414,0.203778,63.909710,0.000000
38,39,27803174,2.332088,0.000000,0.000000
39,38,8249732,0.688816,0.000000,0.000000
