Configure run and logs directory,64836
Configure simulator,159915
Read file of Satellites,71798794
Read user terminals,6966768
Install Internet stack (incl. routing) on nodes,241827814
Read ISLs,1318611
Create ISLs and edge-to-interface-index mapping,685182730
Create Service Links,345036833
Set up reinforcement learning routing protocol.,8839106566
Generate pass lists for every user terminals,3483549774
Read UDP burst schedule,321412
Remove previous UDP burst log files,20428
Setup UDP burst servers,3003454
Filter UDP burst schedule for this system,9393
Schedule start of first UDP burst client,6595
Whatever is between previous timestamp and the simulation run,6035
Run simulation,15894567071062
Write UDP burst log files,1533041
Destroy simulator,217188532
Reset configuration,167391
